sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
heavy,c,c,354,2485,2446.0,2524.0,2449.0,2447.0,2446.0,1006988,1007323,-334,334,10985,3.04051,1.5,0.5,-1.0,-3.0,-3.0,-3.0,-1.0,1.5,0.5,-1.0,-3.0,-0.5,-2.0,-1.0
heavy,c,c,355,2485,2446.0,2524.0,2468.0,2457.0,2446.0,1017973,1022311,-4337,4337,10985,39.48111,1.5,0.5,-0.5,-3.0,-3.0,-3.0,-1.0,1.5,0.5,-0.5,-0.5,-2.5,1.5,0.5
heavy,c,c,356,2485,2446.0,2524.0,2523.0,2484.0,2446.0,1084371,1039578,44794,44794,65910,67.96237,1.5,1.0,-2.0,-3.0,0.5,0.0,0.5,1.5,0.5,0.0,3.0,0.5,-0.5,-1.0
heavy,c,c,357,2485,2446.0,2524.0,2523.0,2490.0,2456.0,1100695,1050927,49769,49769,10985,453.06327,1.5,1.0,-1.5,0.0,2.5,1.0,0.0,1.5,0.5,0.5,3.0,3.0,3.0,1.0
heavy,c,c,358,2485,2446.0,2524.0,2523.0,2500.0,2476.0,1051293,1061912,-10618,10618,10985,96.65908,1.5,0.5,1.0,-3.0,-0.5,1.0,-1.0,1.5,0.5,1.0,3.0,3.0,3.0,1.0
heavy,c,c,359,2485,2446.0,2524.0,2523.0,2510.0,2496.0,1065986,1072897,-6910,6910,10985,62.90396,1.5,0.5,1.5,-1.0,2.0,1.0,0.5,1.5,0.5,1.5,3.0,3.0,3.0,1.0
heavy,c,c,360,2485,2446.0,2524.0,2523.0,2520.0,2516.0,1082156,1083882,-1725,1725,65910,2.61721,1.5,0.5,2.0,2.0,3.0,-0.5,0.5,1.5,0.5,2.0,3.0,3.0,3.0,1.0
heavy,c,c,364,2485,2446.0,2524.0,2523.0,2519.0,2515.0,1389682,1391462,-1779,1779,65910,2.69914,2.0,-2.0,-2.0,2.0,2.5,0.5,1.0,2.0,-2.0,-2.0,3.0,3.0,3.0,1.0
heavy,Tau,tau,395,3477.23,3477.0,3477.46,3477.45,3477.22,3477.0,2108362,2110003,-1640,1640,10985,14.92945,2.0,1.5,-0.5,-1.5,-0.5,-2.0,1.0,2.0,1.5,-0.5,-0.5,-1.0,0.0,-1.0
heavy,Tau,tau,396,3477.23,3477.0,3477.46,3477.45,3477.22,3477.0,2124932,2124840,93,93,65910,0.1411,2.0,1.5,0.0,2.0,-3.0,-2.5,1.0,2.0,1.5,0.0,1.5,2.5,1.5,0.0
heavy,D 0,"$c\overline{u},u\overline{c}$",401,3649.38,3649.28,3649.48,3649.47,3649.37,3649.28,2228154,2227963,192,192,10985,1.74784,2.0,2.0,0.5,-2.0,-2.0,-2.0,-0.5,2.0,2.0,0.5,-2.5,3.0,-1.5,-1.0
heavy,D 0,"$c\overline{u},u\overline{c}$",402,3649.38,3649.28,3649.48,3649.47,3649.37,3649.28,2243864,2244998,-1133,1133,10985,10.31406,2.0,2.0,1.0,0.5,1.5,2.5,-0.5,2.0,2.0,1.0,1.5,-2.5,-1.0,-1.0
heavy,D 0,"$c\overline{u},u\overline{c}$",403,3649.38,3649.28,3649.48,3649.46,3649.37,3649.28,2259226,2259082,145,145,10985,1.31998,2.0,2.0,1.5,3.0,3.0,-2.0,0.5,2.0,2.0,1.5,3.0,1.5,3.0,1.0
heavy,D +,"$c\overline{d},d\overline{c}$",402,3658.81,3658.71,3658.91,3658.9,3658.81,3658.72,2242003,2241150,854,854,10985,7.77424,2.0,2.0,1.0,-0.5,0.5,-1.5,-1.0,2.0,2.0,1.0,-1.0,0.5,-2.5,0.0
heavy,D +,"$c\overline{d},d\overline{c}$",403,3658.81,3658.71,3658.91,3658.9,3658.81,3658.72,2257121,2257156,-34,34,10985,0.30951,2.0,2.0,1.5,2.0,-0.5,2.0,0.5,2.0,2.0,1.5,2.0,0.0,-1.0,0.5
