sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
heavy,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,383,1752.5959622069527,1752.5026042439688,1752.6893201699368,500323,501112,790,11836,0.0667455221358567,4,0,-1,-6,0,-6,-2,4,0,-1,-6,-6,6,-1
heavy,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,384,1752.5993392424152,1752.5005677888948,1752.6981106959354,513771,577098,63328,32897,1.9250387573334955,4,1,-4,6,-4,6,-1,4,1,-4,5,5,-6,2
heavy,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,385,1752.6003216008753,1752.5012558320273,1752.6993873697236,529611,531802,2192,9571,0.22902518023195068,4,0,1,4,-6,-6,2,4,0,1,4,-4,3,0
heavy,proton,Proton,p,1836.152673426(32),1836.152673426,-3.2e-08,3.2e-08,,,,,,,,,,,,,,,,,,,,,,,,
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,388,1837.4267091333384,1837.1834462432114,1837.6699720234653,611531,675632,64102,32566,1.9683719216360622,4,1,0,-3,4,-6,-2,4,1,0,-3,-4,-1,0
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,389,1837.4212616010814,1837.181118602123,1837.6614046000398,626881,629577,2697,8481,0.3180049522461974,4,1,1,3,-3,-5,-1,4,1,1,1,2,-6,1
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,390,1837.4276317784324,1837.1898176302252,1837.6654459266394,642731,643049,319,10968,0.029084609773887674,4,1,2,6,5,-5,1,4,1,2,6,3,4,1
heavy,neutron,Neutron,n,1838.68366200(74),1838.683662,-7.4e-07,7.4e-07,,,,,,,,,,,,,,,,,,,,,,,,
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,389,1874.3175527719409,1874.2130149130305,1874.4220906308512,676606,679727,3122,14691,0.21251106119392826,4,2,-3,-3,-2,-1,-1,4,2,-3,-4,-5,3,1
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,390,1874.3208907348762,1874.2131871604342,1874.428594309318,632086,695522,63437,19501,3.2530126660171272,4,2,-2,2,0,1,-1,4,2,-2,1,-3,1,2
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,391,1874.320614682588,1874.2113292303245,1874.4299001348516,646441,708958,62518,21952,2.847940962099125,4,1,3,-1,0,3,0,4,1,3,0,-3,4,-1
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,392,1874.3184846953186,1874.2101148094011,1874.4268545812363,662311,664482,2172,10431,0.2082254817371297,4,1,4,4,0,5,1,4,1,4,4,-2,-2,2
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,395,1995.035569064527,1995.0239019455873,1995.0472361834663,796897,797052,156,11181,0.01395224040783472,4,3,-1,-6,-3,-6,-2,4,3,-1,-6,-6,2,-2
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,396,1995.0338338513861,1995.0055135296786,1995.0621541730939,810176,873558,63383,32762,1.9346498992735486,4,4,-4,6,-6,0,1,4,3,0,-4,4,-1,2
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,397,1995.0383429069861,1995.0135979678644,1995.063087846108,825516,828187,2672,9361,0.28543958978741585,4,3,1,3,-2,6,0,4,3,1,3,0,-4,0
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
heavy,tau,Tau,τ,3477.23(23),3477.23,-0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,
