particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,delta,,,3016,,,,,,,,65910,4.57594,∆ abs(i)
,max,199.6,178.9,1060653,0.5,-3.0,3.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,182.8(-6.6)(16.8),177.6,-404,,,,,,,,,,
,min,176.2,176.3,1061058,0.5,-3.0,3.0,-3.0,0.0,-1.5,-1.0,,,
,delta,,,404,,,,,,,,65910,0.61296,∆ abs(i)
,max,199.6,184.9,1137548,0.5,-2.5,0.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,182.8(-6.6)(16.8),180.5,-343,,,,,,,,,,
,min,176.2,176.2,1137892,0.5,-2.5,0.0,-3.0,-0.5,-1.5,1.0,,,
,delta,,,343,,,,,,,,10985,3.12244,∆ abs(i)
,max,199.6,199.5,1148561,0.5,-2.5,0.5,-3.0,-3.0,-0.5,0.5,,,
,mean,182.8(-6.6)(16.8),187.9,-5925,,,,,,,,,,
,min,176.2,176.2,1154487,0.5,-2.5,0.5,0.5,-3.0,0.5,1.0,,,
,delta,,,5925,,,,,,,,10985,53.93719,∆ abs(i)
,max,199.6,199.5,1165773,0.5,-2.5,1.0,0.5,-0.5,-1.5,-1.0,,,
,mean,182.8(-6.6)(16.8),187.9,-51999,,,,,,,,,,
,min,176.2,176.2,1217773,0.5,-2.0,-3.0,-1.5,3.0,-1.5,-1.0,,,
,delta,,,51999,,,,,,,,10985,473.36368,∆ abs(i)
,max,199.6,199.5,1228873,0.5,-2.0,-2.5,-1.0,-2.5,-3.0,-1.0,,,
,mean,182.8(-6.6)(16.8),187.8,-3613,,,,,,,,,,
,min,176.2,176.2,1232487,0.5,-2.0,-2.5,1.0,-1.0,0.5,1.0,,,
,delta,,,3613,,,,,,,,10985,32.8903,∆ abs(i)
,max,199.6,199.5,1244538,0.5,-2.0,-2.0,1.5,1.0,-3.0,-1.0,,,
,mean,182.8(-6.6)(16.8),188.4,-2858,,,,,,,,,,
,min,176.2,177.3,1247397,0.5,-2.0,-2.0,3.0,3.0,3.0,1.0,,,
,delta,,,2858,,,,,,,,10985,26.0173,∆ abs(i)
,max,199.6,199.5,1258237,0.5,-2.0,-1.5,3.0,2.0,1.5,1.0,,,
,mean,182.8(-6.6)(16.8),198.6,-144,,,,,,,,,,
,min,176.2,197.6,1258382,0.5,-2.0,-1.5,3.0,3.0,3.0,1.0,,,
,delta,,,144,,,,,,,,10985,1.31088,∆ abs(i)
,total,,,135333,,,,,,,,241670,55.99909,Σ ∆i
Muon,particle,,,,,,,,,,,,,
,max,206.7682873,206.7682831,317573,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,,,
,mean,206.7682827(46),206.7682831,1,,,,,,,,,,
,min,206.768278,206.7682831,317573,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,,,
,delta,,,1,,,,,,,,65910,0.00152,∆ abs(i)
,total,,,1,,,,,,,,65910,0.00152,Σ ∆i
Pion π$^0$,particle,,,,,,,,,,,,,
,max,264.1439,264.1434,333377,0.0,1.0,0.0,-2.5,-3.0,0.5,1.0,,,
,mean,264.1430(9),264.1433,-1665,,,,,,,,,,
,min,264.142,264.1432,335043,0.0,1.0,0.0,-1.5,-3.0,-1.5,-1.0,,,
,delta,,,1665,,,,,,,,10985,15.15703,∆ abs(i)
,max,264.1439,264.1428,1196700,0.5,-2.5,2.5,-0.5,-3.0,-3.0,0.0,,,
,mean,264.1430(9),264.1427,861,,,,,,,,,,
,min,264.142,264.1425,1195840,0.5,-2.5,2.5,-1.5,3.0,2.0,0.0,,,
,delta,,,861,,,,,,,,10985,7.83796,∆ abs(i)
,total,,,2526,,,,,,,,21970,11.4975,Σ ∆i
Pion π$^{+-}$,particle,,,,,,,,,,,,,
,max,273.13278,273.13259,363816,0.0,1.0,1.0,2.5,-3.0,2.5,0.5,,,
,mean,273.13243(35),273.13254,-832,,,,,,,,,,
,min,273.13208,273.13249,364649,0.0,1.0,1.0,3.0,-3.0,1.5,-0.5,,,
,delta,,,832,,,,,,,,10985,7.57396,∆ abs(i)
,max,273.13278,273.13253,1211273,0.5,-2.5,3.0,1.5,-1.5,-1.5,-1.0,,,
,mean,273.13243(35),273.13253,1,,,,,,,,,,
,min,273.13208,273.13253,1211273,0.5,-2.5,3.0,1.5,-1.5,-1.5,-1.0,,,
,delta,,,1,,,,,,,,65910,0.00152,∆ abs(i)
,total,,,833,,,,,,,,76895,1.0833,Σ ∆i
K$^{+-}$,particle,,,,,,,,,,,,,
,max,966.122,966.113,2016633,0.5,0.5,1.0,-3.0,-1.0,-0.5,-1.0,,,
,mean,966.102(21),966.112,215,,,,,,,,,,
,min,966.081,966.112,2016419,0.5,0.5,1.0,-3.0,-2.5,-2.5,-0.5,,,
,delta,,,215,,,,,,,,10985,1.95721,∆ abs(i)
,max,966.122,966.122,2031950,0.5,0.5,1.5,-0.5,0.0,-3.0,0.0,,,
,mean,966.102(21),966.102,354,,,,,,,,,,
,min,966.081,966.082,2031597,0.5,0.5,1.5,-0.5,-3.0,0.5,1.0,,,
,delta,,,354,,,,,,,,10985,3.22258,∆ abs(i)
,max,966.122,966.121,2048749,0.5,0.5,2.0,3.0,-1.0,0.0,-0.5,,,
,mean,966.102(21),966.101,685,,,,,,,,,,
,min,966.081,966.081,2048065,0.5,0.5,2.0,2.5,0.0,3.0,0.0,,,
,delta,,,685,,,,,,,,10985,6.23578,∆ abs(i)
,max,966.122,966.121,2109622,0.5,1.0,-1.5,0.0,-1.0,3.0,1.0,,,
,mean,966.102(21),966.101,-1205,,,,,,,,,,
,min,966.081,966.081,2110828,0.5,1.0,-1.5,0.5,2.0,0.5,-1.0,,,
,delta,,,1205,,,,,,,,10985,10.9695,∆ abs(i)
,max,966.122,966.086,2125802,0.5,1.0,-1.0,3.0,0.0,2.5,1.0,,,
