particle,row_type,theory,E,E_m,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note,Polynom
,delta,,,,3016,,,,,,,,1,301600.0,∆ abs(i),
,total,,,199.59813255931695,26107,0.0,0.5,1.5,1.0,2.5,0.0,-0.5,5,522140.0,Σ ∆i,
,total,,,176.2010586124612,0,0.0,0.5,1.0,-2.0,2.0,-2.5,-0.5,0,522140.0,Σ ∆i,
Muon,particle,,,,,,,,,,,,,,,
,max,206.7682873,206.7682831,,177473,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,,,,0.0 (2π)^4 + 1.0(2π)^3 + -1.0(2π)^2  -(1.5 (2π)^1 + -0.5(2π)^0 + 0.5(2π)^-1)  + 0.5*2(2π)^(-3)  - 1.5*2(2π)^(-2)  + 1.5*2(2π)^(-8)  + 0.5*2(2π)^(-8)  +  (+ π^-12 + 2π^-14)
,mean,206.7682827(46),206.7682831,,1,,,,,,,,,,,
,min,206.768278,206.7682831,,177473,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,,,,0.0 (2π)^4 + 1.0(2π)^3 + -1.0(2π)^2  -(3.0 (2π)^1 + 3.0(2π)^0 + 3.0(2π)^-1)  + -3.0*2(2π)^(-3)  - 3.0*2(2π)^(-2)  + 3.0*2(2π)^(-8)  + 3.0*2(2π)^(-8)  + 1.0 (- π + 2π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,1,,,,,,,,1,100.0,∆ abs(i),
,total,,,206.76828315305272,1,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,1,100.0,Σ ∆i,
,total,,,206.76828315305272,0,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,0,100.0,Σ ∆i,
Pion π$^0$,particle,,,,,,,,,,,,,,,
,max,264.1439,264.1434,,193277,0.0,1.0,0.0,-2.5,-3.0,0.5,1.0,,,,0.0 (2π)^4 + 1.0(2π)^3 + 0.0(2π)^2  -(-2.5 (2π)^1 + -3.0(2π)^0 + 0.5(2π)^-1)  - -2.5*2(2π)^(-2)  + 2.5*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  + 1.0 (- π + 2π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,264.1430(9),264.1433,,-1665,,,,,,,,,,,
,min,264.142,264.1432,,194943,0.0,1.0,0.0,-1.5,-3.0,-1.5,-1.0,,,,0.0 (2π)^4 + 1.0(2π)^3 + 0.0(2π)^2  -(-1.5 (2π)^1 + -3.0(2π)^0 + -1.5(2π)^-1)  - -1.5*2(2π)^(-2)  + 1.5*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  + 1.0 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,1665,,,,,,,,1,166500.0,∆ abs(i),
,total,,,264.143451083154,1665,0.0,1.0,0.0,-1.5,-3.0,-1.5,-1.0,1,166500.0,Σ ∆i,
,total,,,264.1432460245639,0,0.0,1.0,0.0,-1.5,-3.0,-1.5,-1.0,0,166500.0,Σ ∆i,
Pion π$^{+-}$,particle,,,,,,,,,,,,,,,
,max,273.13278,273.13259,,223716,0.0,1.0,1.0,2.5,-3.0,2.5,0.5,,,,0.0 (2π)^4 + 1.0(2π)^3 + 1.0(2π)^2  -(2.5 (2π)^1 + -3.0(2π)^0 + 2.5(2π)^-1)  + -3.0*2(2π)^(-4)  - 2.5*2(2π)^(-2)  + 2.5*2(2π)^(-8)  + 3.0*2(2π)^(-8)  + 0.5 (- π + 2π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,273.13243(35),273.13254,,-832,,,,,,,,,,,
,min,273.13208,273.13249,,224549,0.0,1.0,1.0,3.0,-3.0,1.5,-0.5,,,,0.0 (2π)^4 + 1.0(2π)^3 + 1.0(2π)^2  -(3.0 (2π)^1 + -3.0(2π)^0 + 1.5(2π)^-1)  + -3.0*2(2π)^(-4)  - 3.0*2(2π)^(-2)  + 3.0*2(2π)^(-8)  + 3.0*2(2π)^(-8)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,832,,,,,,,,1,83200.0,∆ abs(i),
,total,,,273.13259184246255,832,0.0,1.0,1.0,3.0,-3.0,1.5,-0.5,1,83200.0,Σ ∆i,
,total,,,273.13249013652995,0,0.0,1.0,1.0,3.0,-3.0,1.5,-0.5,0,83200.0,Σ ∆i,
K$^{+-}$,mean,966.102(21),,,,,,,,,,,,,only with i4 > 1,
KL$^0$,mean,973.800(26),,,,,,,,,,,,,only with i4 > 1,
KS$^0$,mean,973.800(26),,,,,,,,,,,,,only with i4 > 1,
Eta η,mean,1072.139(35),,,,,,,,,,,,,only with i4 > 1,
Rho ρ$^{+-}$,mean,1506(1),,,,,,,,,,,,,only with i4 > 1,
Rho ρ$^0$,mean,1517.14(49),,,,,,,,,,,,,only with i4 > 1,
Omega ω,mean,1531.62(25),,,,,,,,,,,,,only with i4 > 1,
K*$^{+-}$,mean,1745.2(1),,,,,,,,,,,,,only with i4 > 1,
K*$^0$,mean,1752.6(1),,,,,,,,,,,,,only with i4 > 1,
Proton,mean,1836.152673426(32),,,,,,,,,,,,,only with i4 > 1,
H,mean,1837.47(-0.29)(0.20),,,,,,,,,,,,,only with i4 > 1,
Neutron,mean,1838.68366200(74),,,,,,,,,,,,,only with i4 > 1,
Eta η`,mean,1874.32(11),,,,,,,,,,,,,only with i4 > 1,
Phi ,mean,1995.035(31),,,,,,,,,,,,,only with i4 > 1,
c,mean,2485(-39)(39),,,,,,,,,,,,,only with i4 > 1,
Tau,mean,3477.23(23),,,,,,,,,,,,,only with i4 > 1,
D$^0$,mean,3649.38(10),,,,,,,,,,,,,only with i4 > 1,
D$^+$,mean,3658.81(10),,,,,,,,,,,,,only with i4 > 1,
Deuteron,mean,3670.48296788(13),,,,,,,,,,,,,only with i4 > 1,
DS$^+$,mean,3851.94(13),,,,,,,,,,,,,only with i4 > 1,
Triton,mean,5496.92153573(27),,,,,,,,,,,,,only with i4 > 1,
